date,resources,types,profiles,paths,bindings,codelists,valuesets,codes,hints,warnings,uncovered,brokenlinks
14/05/2013,43,75,2,1088,183,85,25,542,19,76,487,6
15/05/2013,43,75,2,1083,183,85,25,543,19,74,482,6
16/05/2013,44,76,2,1101,185,87,25,553,19,86,495,7
17/05/2013,45,77,2,1090,183,86,25,610,35,148,489,17
18/05/2013,45,77,2,1089,182,85,27,607,35,140,475,10
19/05/2013,45,77,2,1085,179,85,27,609,35,137,472,10
20/05/2013,45,77,2,1085,179,85,27,609,35,137,472,10
21/05/2013,46,78,2,1107,181,87,27,622,36,140,481,10
22/05/2013,46,78,2,1111,180,86,27,619,36,148,487,11
23/05/2013,46,78,2,1111,180,86,27,619,36,148,487,11
24/05/2013,46,78,2,1111,180,86,27,619,36,148,487,12
30/05/2013,46,78,2,1114,180,86,27,619,36,148,490,13
31/05/2013,46,78,2,1118,185,84,34,600,38,149,489,14
1/06/2013,46,78,2,1118,185,84,34,600,38,149,489,21
2/06/2013,46,78,2,1118,185,84,34,600,38,147,489,21
4/06/2013,46,78,2,1118,185,84,34,600,38,147,489,21
5/06/2013,46,78,2,1118,185,84,34,600,38,147,489,21
7/06/2013,46,78,2,1117,182,82,39,590,36,145,454,35
8/06/2013,46,78,2,1117,182,82,39,590,36,145,454,32
9/06/2013,46,78,2,1117,182,82,39,591,36,145,454,32
10/06/2013,46,78,2,1117,182,82,39,591,36,145,454,32
11/06/2013,46,78,2,1117,181,78,42,565,35,141,454,32
12/06/2013,46,78,2,1117,180,78,41,565,35,141,454,31
13/06/2013,46,78,2,1117,180,78,41,565,35,141,454,31
18/06/2013,46,78,2,1118,181,77,48,553,35,130,437,31
19/06/2013,46,78,2,1118,181,77,48,553,34,130,436,31
20/06/2013,46,78,2,1118,181,77,48,555,36,130,437,31
21/06/2013,46,78,2,1121,182,77,49,555,36,130,436,41
22/06/2013,46,78,2,1121,182,77,49,555,36,130,436,44
25/06/2013,46,78,2,1117,182,77,49,555,36,151,359,49
26/06/2013,46,78,2,1117,182,77,49,555,36,151,359,49
27/06/2013,46,78,2,1117,183,78,49,615,36,151,359,52
28/06/2013,47,79,2,1131,188,80,54,652,37,247,365,56
30/06/2013,47,79,2,1131,188,80,54,652,37,246,364,56
1/07/2013,47,79,1,1135,197,82,62,661,39,245,366,55
2/07/2013,48,80,1,1145,197,82,62,661,39,245,367,56
3/07/2013,48,80,1,1124,198,82,63,661,39,246,385,57
4/07/2013,48,80,1,1136,197,81,63,656,40,244,396,57
5/07/2013,48,78,1,1097,198,81,69,665,43,224,383,60
6/07/2013,48,78,1,1091,198,81,69,665,43,220,382,64
7/07/2013,48,78,1,1091,198,81,69,665,43,220,372,61
8/07/2013,48,78,1,1093,197,79,76,656,42,214,374,61
9/07/2013,48,78,1,1092,197,79,76,656,42,214,374,60
10/07/2013,48,78,1,1094,198,80,76,653,42,218,377,60
11/07/2013,48,78,1,1096,199,80,77,653,43,218,377,61
12/07/2013,49,79,1,1115,205,80,83,653,43,219,395,63
13/07/2013,49,79,1,1115,205,80,83,653,43,219,395,63
14/07/2013,49,79,1,1129,207,80,85,653,42,221,399,63
15/07/2013,49,79,1,1133,207,82,83,658,42,217,403,63
16/07/2013,49,79,1,1131,208,82,84,658,42,217,401,64
17/07/2013,49,79,1,1131,208,82,84,658,42,55,400,64
18/07/2013,49,79,1,1130,207,82,86,658,42,51,400,64
19/07/2013,49,79,1,1131,207,82,86,658,42,51,401,64
20/07/2013,49,79,1,1131,207,82,86,658,42,51,401,64
22/07/2013,49,79,1,1131,207,82,86,658,42,51,401,64
23/07/2013,49,79,1,1131,202,82,84,660,39,48,401,55
24/07/2013,49,79,1,1136,204,81,87,647,39,48,407,56
25/07/2013,49,79,1,1136,204,81,87,647,39,48,407,53
26/07/2013,49,79,1,1136,204,81,87,647,39,48,407,53
27/07/2013,49,79,1,1136,204,81,87,647,39,48,407,53
30/07/2013,49,79,1,1137,204,81,87,647,39,48,407,53
31/07/2013,49,79,1,1137,204,81,87,647,39,48,407,53
1/08/2013,49,79,1,1137,204,81,87,647,39,48,407,53
2/08/2013,49,79,1,1137,204,81,87,647,39,48,407,155
7/08/2013,50,80,1,1143,206,82,91,642,39,24,410,351
8/08/2013,49,79,1,1124,205,81,91,581,39,24,406,160
9/08/2013,49,79,1,1124,205,81,91,581,39,24,406,161
12/08/2013,49,79,1,1124,205,81,91,581,39,24,406,162
13/08/2013,49,79,1,1124,205,81,91,581,39,24,406,162
15/08/2013,49,79,1,1124,205,81,91,581,39,24,406,162
16/08/2013,49,79,1,1124,205,81,91,581,39,24,406,162
19/08/2013,49,79,1,1124,205,81,91,581,39,24,406,162
23/08/2013,49,79,1,1124,205,81,91,581,39,24,406,162
27/08/2013,49,79,1,1124,205,81,91,581,39,24,406,162
29/08/2013,49,79,1,1124,205,81,91,581,39,24,406,162
3/09/2013,50,80,1,1132,206,82,91,585,39,28,408,165
6/09/2013,49,79,1,1124,205,81,91,581,39,24,406,162
12/09/2013,50,80,1,1132,206,82,91,585,39,28,408,165
13/09/2013,60,90,1,1383,229,105,91,714,52,32,518,198
14/09/2013,60,90,1,1383,229,105,91,714,52,32,518,198
19/09/2013,60,90,1,1383,229,105,91,714,52,32,518,198
21/09/2013,60,90,1,1383,229,105,91,714,52,32,518,198
22/09/2013,62,92,1,1428,237,105,97,714,52,34,524,204
23/09/2013,63,93,1,1439,239,105,97,714,52,36,526,207
27/09/2013,64,94,1,1461,240,106,97,721,53,36,532,211
28/09/2013,61,91,1,1407,231,105,91,717,53,30,523,205
29/09/2013,61,91,1,1407,231,105,91,717,53,30,523,395
30/09/2013,61,91,1,1407,231,105,91,717,53,30,523,205
1/10/2013,61,90,1,1403,231,105,91,717,53,68,519,207
2/10/2013,61,90,1,1405,231,105,91,717,53,68,521,243
3/10/2013,51,80,1,1156,208,81,92,518,40,197,413,212
4/10/2013,51,80,1,1158,208,81,92,519,40,198,418,66
5/10/2013,51,80,1,1157,208,81,92,519,40,198,418,68
6/10/2013,51,80,1,1157,208,81,92,519,40,198,418,67
7/10/2013,51,80,1,1165,208,81,92,519,40,192,425,70
8/10/2013,51,80,1,1163,208,81,92,517,40,191,424,70
9/10/2013,51,80,1,1163,208,81,92,517,40,191,425,70
10/10/2013,51,80,1,1165,212,84,93,535,42,186,427,71
11/10/2013,51,80,1,1165,212,84,93,535,42,610,427,71
12/10/2013,51,80,1,1165,212,84,93,535,42,296,427,72
14/10/2013,51,80,1,1165,212,84,93,535,42,296,427,72
15/10/2013,51,80,1,1165,212,84,93,535,42,296,427,72
16/10/2013,51,80,1,1165,212,84,93,535,42,296,427,76
17/10/2013,51,80,1,1165,212,84,93,535,42,296,427,77
18/10/2013,51,80,1,1165,212,84,93,535,42,296,427,78
19/10/2013,51,80,1,1164,212,84,93,535,42,296,427,79
20/10/2013,51,80,1,1164,212,84,93,535,42,296,427,79
21/10/2013,51,80,1,1165,212,84,93,535,42,297,425,79
22/10/2013,51,80,1,1164,212,84,93,535,42,290,424,79
23/10/2013,51,80,1,1164,212,84,93,535,42,290,424,79
24/10/2013,51,80,1,1166,213,85,93,537,42,291,424,79
25/10/2013,51,80,1,1166,213,85,93,537,42,291,424,80
26/10/2013,51,80,1,1166,213,85,93,537,42,291,424,80
27/10/2013,51,80,1,1166,213,85,93,537,42,291,424,74
28/10/2013,51,80,1,1166,213,85,93,537,42,291,424,74
29/10/2013,51,80,1,1167,213,85,93,537,43,294,426,74
31/10/2013,51,80,1,1168,215,87,93,554,45,294,427,75
1/11/2013,51,80,1,1169,215,87,93,554,45,294,428,192
2/11/2013,51,80,1,1169,215,87,93,554,45,294,428,192
7/11/2013,51,80,1,1173,215,87,93,554,45,294,432,192
9/11/2013,51,80,1,1173,215,87,93,554,45,295,432,193
14/11/2013,48,77,1,1138,209,85,94,534,44,279,418,197
15/11/2013,48,77,1,1133,209,85,94,534,44,269,408,196
16/11/2013,48,77,1,1133,209,85,94,534,44,270,408,196
17/11/2013,48,77,1,1133,209,85,94,534,44,272,408,196
18/11/2013,48,77,1,1135,209,85,94,534,44,271,410,198
19/11/2013,48,77,1,1135,209,85,94,534,44,271,410,198
20/11/2013,48,77,1,1137,212,87,95,542,44,271,411,85
21/11/2013,48,77,1,1137,212,87,95,542,44,271,411,5
22/11/2013,48,77,1,1137,212,87,95,542,44,271,411,6
23/11/2013,48,77,1,1138,213,88,95,543,44,271,412,25
24/11/2013,48,77,1,1138,213,88,95,543,44,271,412,25
25/11/2013,48,77,1,1138,213,88,95,543,44,271,412,25
26/11/2013,48,77,1,1138,213,88,95,543,44,271,438,25
27/11/2013,48,77,1,1138,213,88,95,543,44,271,438,24
29/11/2013,48,77,1,1139,214,89,95,551,44,264,439,24
1/12/2013,48,77,1,1139,214,89,95,551,44,264,439,24
2/12/2013,48,77,1,1139,214,89,95,551,44,264,439,25
3/12/2013,48,77,1,1140,215,90,95,554,44,264,440,25
5/12/2013,48,77,2,1143,219,92,97,572,46,264,448,28
6/12/2013,48,77,3,1143,219,92,97,572,46,264,448,28
8/12/2013,48,77,4,1143,218,92,96,572,46,270,461,46
9/12/2013,48,77,4,1143,215,91,94,558,43,270,461,5
10/12/2013,48,77,4,1143,215,91,94,558,36,250,461,5
